Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
0.01,0.00061,999.9,4.212,55.1,13.1,1788,1.789,-0.63,756.4,13.67
0.02,0.0006106206206,999.8997998,4.211978979,55.1023023,13.1006006,1787.517518,1.788516517,-0.6286686687,756.3851852,13.66584585
0.03,0.0006112412412,999.8995996,4.211957958,55.1046046,13.1012012,1787.035035,1.788033033,-0.6273373373,756.3703704,13.66169169
0.04,0.0006118618619,999.8993994,4.211936937,55.10690691,13.1018018,1786.552553,1.78754955,-0.626006006,756.3555556,13.65753754
0.05,0.0006124824825,999.8991992,4.211915916,55.10920921,13.1024024,1786.07007,1.787066066,-0.6246746747,756.3407407,13.65338338
0.06,0.0006131031031,999.898999,4.211894895,55.11151151,13.103003,1785.587588,1.786582583,-0.6233433433,756.3259259,13.64922923
0.07,0.0006137237237,999.8987988,4.211873874,55.11381381,13.1036036,1785.105105,1.786099099,-0.622012012,756.3111111,13.64507508
0.08,0.0006143443443,999.8985986,4.211852853,55.11611612,13.1042042,1784.622623,1.785615616,-0.6206806807,756.2962963,13.64092092
0.09,0.000614964965,999.8983984,4.211831832,55.11841842,13.1048048,1784.14014,1.785132132,-0.6193493493,756.2814815,13.63676677
0.1,0.0006155855856,999.8981982,4.211810811,55.12072072,13.10540541,1783.657658,1.784648649,-0.618018018,756.2666667,13.63261261
0.11,0.0006162062062,999.897998,4.21178979,55.12302302,13.10600601,1783.175175,1.784165165,-0.6166866867,756.2518519,13.62845846
0.12,0.0006168268268,999.8977978,4.211768769,55.12532533,13.10660661,1782.692693,1.783681682,-0.6153553554,756.237037,13.6243043
0.13,0.0006174474474,999.8975976,4.211747748,55.12762763,13.10720721,1782.21021,1.783198198,-0.614024024,756.2222222,13.62015015
0.14,0.0006180680681,999.8973974,4.211726727,55.12992993,13.10780781,1781.727728,1.782714715,-0.6126926927,756.2074074,13.615996
0.15,0.0006186886887,999.8971972,4.211705706,55.13223223,13.10840841,1781.245245,1.782231231,-0.6113613614,756.1925926,13.61184184
0.16,0.0006193093093,999.896997,4.211684685,55.13453453,13.10900901,1780.762763,1.781747748,-0.61003003,756.1777778,13.60768769
0.17,0.0006199299299,999.8967968,4.211663664,55.13683684,13.10960961,1780.28028,1.781264264,-0.6086986987,756.162963,13.60353353
0.18,0.0006205505506,999.8965966,4.211642643,55.13913914,13.11021021,1779.797798,1.780780781,-0.6073673674,756.1481481,13.59937938
0.19,0.0006211711712,999.8963964,4.211621622,55.14144144,13.11081081,1779.315315,1.780297297,-0.606036036,756.1333333,13.59522523
0.2,0.0006217917918,999.8961962,4.211600601,55.14374374,13.11141141,1778.832833,1.779813814,-0.6047047047,756.1185185,13.59107107
0.21,0.0006224124124,999.895996,4.21157958,55.14604605,13.11201201,1778.35035,1.77933033,-0.6033733734,756.1037037,13.58691692
0.22,0.000623033033,999.8957958,4.211558559,55.14834835,13.11261261,1777.867868,1.778846847,-0.602042042,756.0888889,13.58276276
0.23,0.0006236536537,999.8955956,4.211537538,55.15065065,13.11321321,1777.385385,1.778363363,-0.6007107107,756.0740741,13.57860861
0.24,0.0006242742743,999.8953954,4.211516517,55.15295295,13.11381381,1776.902903,1.77787988,-0.5993793794,756.0592593,13.57445445
0.25,0.0006248948949,999.8951952,4.211495495,55.15525526,13.11441441,1776.42042,1.777396396,-0.598048048,756.0444444,13.5703003
0.26,0.0006255155155,999.894995,4.211474474,55.15755756,13.11501502,1775.937938,1.776912913,-0.5967167167,756.0296296,13.56614615
0.27,0.0006261361361,999.8947948,4.211453453,55.15985986,13.11561562,1775.455455,1.776429429,-0.5953853854,756.0148148,13.56199199
0.28,0.0006267567568,999.8945946,4.211432432,55.16216216,13.11621622,1774.972973,1.775945946,-0.5940540541,756,13.55783784
0.29,0.0006273773774,999.8943944,4.211411411,55.16446446,13.11681682,1774.49049,1.775462462,-0.5927227227,755.9851852,13.55368368
0.3,0.000627997998,999.8941942,4.21139039,55.16676677,13.11741742,1774.008008,1.774978979,-0.5913913914,755.9703704,13.54952953
0.31,0.0006286186186,999.893994,4.211369369,55.16906907,13.11801802,1773.525526,1.774495495,-0.5900600601,755.9555556,13.54537538
0.32,0.0006292392392,999.8937938,4.211348348,55.17137137,13.11861862,1773.043043,1.774012012,-0.5887287287,755.9407407,13.54122122
0.33,0.0006298598599,999.8935936,4.211327327,55.17367367,13.11921922,1772.560561,1.773528529,-0.5873973974,755.9259259,13.53706707
0.34,0.0006304804805,999.8933934,4.211306306,55.17597598,13.11981982,1772.078078,1.773045045,-0.5860660661,755.9111111,13.53291291
0.35,0.0006311011011,999.8931932,4.211285285,55.17827828,13.12042042,1771.595596,1.772561562,-0.5847347347,755.8962963,13.52875876
